,id,name
142,5ae37d88799f2e000778fc2e,Mc Donald Nuggets (10)
143,5bcc885ce6aee70008a0dee4,Mc Donald Pepper Strips Stor
144,5b1ad7aa630c7f0007fa8601,Mc Donald Salsa chicken
145,5b425a286e167d0006a816c7,Mc Donald quarter pounder
146,5b64c62b6e167d0006a817a4,Mc donald homestyle tasty
147,5b3f403c6e167d0006a816b3,Melanzana
148,5b26c7d66e167d0006a81611,Milk Vores Let Maelk
149,5b141c73630c7f0007fa85be,Milk full fat (250ml)
150,5acbbf491f0bb90007b41ba2,Minced Meat - 4-7% - Slagter Mesterens
151,5bd17b01e6aee70008a0df04,"Minimælk 0,4%"
152,5b5cedc56e167d0006a8176e,Mozzarella di bufala
153,5bc8b3fd8c1add000773ccee,Muesli Vores Granola
154,5c7817abea3a3e0006d215ff,Muesli levevis frø og nødder
155,5c32019922cdc00007a4bcb3,Musli levevis Frugt og nødder
156,5ba7bd8e7471830008bddf74,Musli levevis øko Mysli
157,5c1140f722cdc00007a4bc2c,Naan bread
158,5dbd6c541cb33a00061eb03b,Naturli Hot Dogs pea based
159,5c71b62c22cdc00007a4be60,Nic Choco & Pear Cake
160,5bd22023e6aee70008a0df08,Noodles Mie Nudeln
161,5bc711678c1add000773cce4,Olive
162,5b2948396e167d0006a81623,Olive oil (1 tbs)
163,5b34fda16e167d0006a81668,Omelette
164,5b255ff36e167d0006a81602,Onion (1 small)
165,5acbc1d81f0bb90007b41ba4,Optimum Whey Protein shake
166,5dda337e1cb33a00061eb0ab,Oreo (double cream - 1)
167,5adca5df799f2e000778fbdd,Oyster (6)
168,5c13635b22cdc00007a4bc33,Pad Thai Chicken (1 plate)
169,5b012a87630c7f0007fa84fc,Pain au chocolat (1)
170,5bdef84ee6aee70008a0df4d,Pancake
171,5b5c1da46e167d0006a81767,Pane 4 cereali
172,5c1fea8a22cdc00007a4bc5c,Parmigiano Zanetti
173,5c9a2167ea3a3e0006d21702,Parmigiano reggiano Ferrari
174,5c9a1fffea3a3e0006d21701,Passata Mutti
175,5b327fa46e167d0006a81659,Pasta De Cecco
176,5b891a316e167d0006a81810,Pate (liver)
177,5ad300571f0bb90007b41bf5,Pear
178,5c795b5cea3a3e0006d2160c,Pear (100gr)
179,5b956ea27471830008bddf11,Pecorino romano dop grattugiato
180,5c99cf99ea3a3e0006d216f7,Pema pane di segale integrale
181,5b58b2b56e167d0006a8174e,Peperoni
182,5bb27fda7471830008bddfaf,Peperoni
183,5c0f800ebda1fa0007652eaa,Pesto
184,5b4b7fcd6e167d0006a816fb,Philadelphia light
185,5c73d82fea3a3e0006d215da,Piselli
186,5ae5cd4c630c7f0007fa83dd,Pita bread
187,5be20726e6aee70008a0df5f,Pizza
188,5c25c04f22cdc00007a4bc78,Pizza Esselunga Top
189,5b561b076e167d0006a81740,Pore
190,5b05b239630c7f0007fa8525,Pork sausage
191,5bc9c6808c1add000773ccf7,Potato
192,5d851ffaea6839000695576c,Pret a manger kylling cæsar
193,5d8f7f64ea6839000695579f,Pretzel bun (1 - 76gr)
194,5ae9544d630c7f0007fa83fb,Prosciutto Cotto
195,5b3510376e167d0006a8166c,Prosciutto Cotto Vores
196,5aeb0ccd630c7f0007fa8416,Prosciutto Crudo
